name        ,time ,     ,memory ,     ,n_pool ,     ,n_qstr ,     ,n_str_data_B ,     ,n_total_B ,     ,stack ,     ,GC_used ,
            ,us   ,diff ,b/B    ,diff ,no     ,diff ,no     ,diff ,bytes        ,diff ,bytes     ,diff ,b/B   ,diff ,b/B     ,diff
g_var_empty ,623  ,0    ,112    ,0    ,0      ,0    ,0      ,0    ,0            ,0    ,0         ,0    ,0     ,0    ,304     ,0
g_var_2     ,822  ,199  ,128    ,16   ,0      ,0    ,1      ,1    ,3            ,3    ,3         ,3    ,0     ,0    ,320     ,16
g_var_3     ,805  ,182  ,128    ,16   ,0      ,0    ,1      ,1    ,4            ,4    ,4         ,4    ,0     ,0    ,320     ,16
g_var_4     ,811  ,188  ,128    ,16   ,0      ,0    ,1      ,1    ,5            ,5    ,5         ,5    ,0     ,0    ,320     ,16
g_var_5     ,860  ,237  ,192    ,80   ,0      ,0    ,1      ,1    ,6            ,6    ,6         ,6    ,0     ,0    ,384     ,80
g_var_6     ,800  ,177  ,128    ,16   ,0      ,0    ,1      ,1    ,7            ,7    ,7         ,7    ,0     ,0    ,320     ,16
g_var_7     ,813  ,190  ,256    ,144  ,0      ,0    ,1      ,1    ,8            ,8    ,8         ,8    ,0     ,0    ,448     ,144
g_var_8     ,806  ,183  ,128    ,16   ,0      ,0    ,1      ,1    ,9            ,9    ,9         ,9    ,0     ,0    ,320     ,16
g_var_9     ,802  ,179  ,128    ,16   ,0      ,0    ,1      ,1    ,10           ,10   ,10        ,10   ,0     ,0    ,320     ,16
g_var_10    ,801  ,178  ,128    ,16   ,0      ,0    ,1      ,1    ,11           ,11   ,11        ,11   ,0     ,0    ,320     ,16
g_var_11    ,857  ,234  ,192    ,80   ,0      ,0    ,1      ,1    ,12           ,12   ,12        ,12   ,0     ,0    ,384     ,80
g_var_12    ,813  ,190  ,128    ,16   ,0      ,0    ,1      ,1    ,13           ,13   ,13        ,13   ,0     ,0    ,320     ,16
g_var_13    ,799  ,176  ,128    ,16   ,0      ,0    ,1      ,1    ,14           ,14   ,14        ,14   ,0     ,0    ,320     ,16
g_var_14    ,817  ,194  ,128    ,16   ,0      ,0    ,1      ,1    ,15           ,15   ,15        ,15   ,0     ,0    ,320     ,16
g_var_15    ,809  ,186  ,128    ,16   ,0      ,0    ,1      ,1    ,16           ,16   ,16        ,16   ,0     ,0    ,320     ,16
g_var_16    ,805  ,182  ,128    ,16   ,0      ,0    ,1      ,1    ,17           ,17   ,17        ,17   ,0     ,0    ,320     ,16
g_var_17    ,813  ,190  ,160    ,48   ,0      ,0    ,1      ,1    ,18           ,18   ,18        ,18   ,0     ,0    ,352     ,48
g_var_18    ,815  ,192  ,144    ,32   ,0      ,0    ,1      ,1    ,19           ,19   ,19        ,19   ,0     ,0    ,336     ,32
g_var_19    ,887  ,264  ,336    ,224  ,0      ,0    ,1      ,1    ,20           ,20   ,20        ,20   ,0     ,0    ,528     ,224
g_var_20    ,811  ,188  ,128    ,16   ,0      ,0    ,1      ,1    ,21           ,21   ,21        ,21   ,0     ,0    ,320     ,16
g_var_21    ,810  ,187  ,128    ,16   ,0      ,0    ,1      ,1    ,22           ,22   ,22        ,22   ,0     ,0    ,320     ,16
g_var_22    ,816  ,193  ,128    ,16   ,0      ,0    ,1      ,1    ,23           ,23   ,23        ,23   ,0     ,0    ,320     ,16
g_var_23    ,810  ,187  ,128    ,16   ,0      ,0    ,1      ,1    ,24           ,24   ,24        ,24   ,0     ,0    ,320     ,16
g_var_24    ,824  ,201  ,160    ,48   ,0      ,0    ,1      ,1    ,25           ,25   ,25        ,25   ,0     ,0    ,352     ,48
g_var_25    ,897  ,274  ,1312   ,1200 ,1      ,1    ,1      ,1    ,26           ,26   ,1178      ,1178 ,0     ,0    ,1504    ,1200
g_var_26    ,829  ,206  ,144    ,32   ,0      ,0    ,1      ,1    ,27           ,27   ,27        ,27   ,0     ,0    ,336     ,32
g_var_27    ,834  ,211  ,240    ,128  ,0      ,0    ,1      ,1    ,28           ,28   ,28        ,28   ,0     ,0    ,432     ,128
g_var_28    ,829  ,206  ,128    ,16   ,0      ,0    ,1      ,1    ,29           ,29   ,29        ,29   ,0     ,0    ,320     ,16
g_var_29    ,911  ,288  ,224    ,112  ,0      ,0    ,1      ,1    ,30           ,30   ,30        ,30   ,0     ,0    ,416     ,112
g_var_30    ,844  ,221  ,128    ,16   ,0      ,0    ,1      ,1    ,31           ,31   ,31        ,31   ,0     ,0    ,320     ,16
g_var_31    ,847  ,224  ,256    ,144  ,0      ,0    ,1      ,1    ,32           ,32   ,32        ,32   ,0     ,0    ,448     ,144
g_var_32    ,839  ,216  ,128    ,16   ,0      ,0    ,1      ,1    ,33           ,33   ,33        ,33   ,0     ,0    ,320     ,16
g_var_33    ,844  ,221  ,128    ,16   ,0      ,0    ,1      ,1    ,34           ,34   ,34        ,34   ,0     ,0    ,320     ,16
